id,hs,top_cm,bot_cm,smp_id,scope_id,sram_id,present [0/1],top_depth_cm,bot_depth_mm
JPLMet_20250408_TS_0334,63,44,41,,,JPLMet_20250408_TS_0334_sram.csv,1,20,24
BMO_20250224,96,62,59,,,BMO_20250224_sram.csv,0,,
BMO_20250224,96,57,54,,,BMO_20250224_sram.csv,0,,
BMO_20250224,96,52,50,,,BMO_20250224_sram.csv,0,,
LFMet_20250312,103,100,96,,,LFMet_20250312_sram.csv,1,4,9
DHMet_20241121,36.5,26,25,,,DHMet_20241121_sram.csv,0,,
FRE_20250122,187,184,181,,,FRE_20250122_sram.csv,0,,
FRE_20250122,187,169,166,,,FRE_20250122_sram.csv,1,18,22
AM_20241122,38,35,34.5,,,AM_20241122_sram.csv,0,,
JPLMet_20250318,89,87,85,,,JPLMet_20250318_sram.csv,0,,
JPLMet_20250318,89,82,74,,,JPLMet_20250318_sram.csv,1,9,16
JPLMet_20250318,89,51,47,,,JPLMet_20250318_sram.csv,1,37,45
JPLMet_20250211,68,60,56,,,JPLMet_20250211_sram.csv,1,8,12
JPLMet_20250205,70,70,67,,,JPLMet_20250205_sram.csv,1,3,5
JPLMet_20250407_TS_1045,76,61,58,,,JPLMet_20250407_TS_1045_sram.csv,1,12,15
JPLMet_20250407_TS_1045,76,53,49,,,JPLMet_20250407_TS_1045_sram.csv,1,19,22
JPLMet_20250407_TS_1045,76,43,42,,,JPLMet_20250407_TS_1045_sram.csv,0,,
BDG_20250530,81,4,0,,,BDG_20250530_sram.csv,1,74,75
BOG_20250305,205,203,197.5,,,BOG_20250305_sram.csv,1,3,7
BOG_20250305,205,196,194,,,BOG_20250305_sram.csv,1,12.5,13
BOG_20250305,205,190,189,,,BOG_20250305_sram.csv,1,15.5,16
BOG_20250305,205,179.5,179,,,BOG_20250305_sram.csv,1,21,22
BOG_20250305,205,159,158.5,,,BOG_20250305_sram.csv,1,46,48
BOG_20250305,205,120.5,119.5,,,BOG_20250305_sram.csv,1,88.5,86
BOG_20250305,205,95,94.5,,,BOG_20250305_sram.csv,0,,
MCSST_20250402,248,234,228,,,MCSST_20250402_sram.csv,1,17,21
MCSST_20250402,248,147,127,,,MCSST_20250402_sram.csv,1,93,102
DHMet_20250305,142,121,114,,,DHMet_20250305_sram.csv,1,19,23.5
DHMet_20250305,142,80,77,,,DHMet_20250305_sram.csv,1,59,63
FCO_20250120,82,69,66,,,FCO_20250120_sram.csv,1,11,14.5
FCO_20250120,82,41,38,,,FCO_20250120_sram.csv,1,45,51
BDG_20250107,220,198,197,,,BDG_20250107_sram.csv,0,,
BDG_20250107,220,132,131,,,BDG_20250107_sram.csv,0,,
BDG_20250107,220,69,64,,,BDG_20250107_sram.csv,0,,
FRE_20250312,285,285,284,,,FRE_20250312_sram.csv,1,2,5
FRE_20250312,285,262,260,,,FRE_20250312_sram.csv,0,,
FRE_20250312,285,233,232,,,FRE_20250312_sram.csv,1,43.5,44
FRE_20250312,285,218,217.5,,,FRE_20250312_sram.csv,0,,
FRE_20250312,285,203,202,,,FRE_20250312_sram.csv,1,85,86
FRE_20250312,285,148,146,,,FRE_20250312_sram.csv,1,132,133
FRE_20250312,285,134,133.5,,,FRE_20250312_sram.csv,0,,
SLMet_20250314,90,82,77,,,SLMet_20250314_sram.csv,1,9,12
BDG_20250115,213,174,172,,,BDG_20250115_sram.csv,0,,
BDG_20250115,213,60,56,,,BDG_20250115_sram.csv,1,157,162.5
