,top_cm,bottom_cm,grain max_mm,grain min_mm,grain avg_mm,type,HH,wetness,comments,hs_cm,swe_mm,density_kgm3,date,hs,profile_id,avg_force_ram,avg_force_scope,avg_force_smp
14,120.0,76.0,0.8,0.3,0.5,RGxf,P,D,,,,,,288.0,BDG_20250228,609.6214285714286,14.929624442718445,
15,67.0,66.5,2.0,0.5,1.0,PPsd,F,D,Some DFbk,,,,20250107.0,67.0,FEFHQ_20250107,,0.0322705,
16,66.5,61.0,1.5,0.5,1.0,DF,F,D,"DFbk, some PPsp",6.200000000000003,5.0,81.0,,67.0,FEFHQ_20250107,,0.09646014736842104,
17,61.0,36.0,1.0,0.5,0.8,RGxf,4F,D,,25.599999999999994,56.0,217.0,,67.0,FEFHQ_20250107,16.9495,0.45496506057142855,
18,36.0,18.0,1.5,0.5,1.0,FC,F,D,FCso,15.400000000000002,35.0,227.0,,67.0,FEFHQ_20250107,,0.28062586456692906,
19,18.0,0.0,4.0,1.0,1.5,DHla,F,D,DHch,18.8,41.0,218.0,,67.0,FEFHQ_20250107,,0.3770175023622047,
27,88.0,85.0,1.0,0.2,0.4,MF,4F,WS,"Surface facets, melting",3.0,,,20241206.0,88.0,PLT2_20241206,,,
28,85.0,66.5,0.7,0.25,0.5,MF,F,M,"rounded grains, melted bonded",18.5,,,,88.0,PLT2_20241206,,,
29,66.5,66.0,1.0,0.2,0.5,IF,K,M,Ice lens/ ice crust,0.5,,,,88.0,PLT2_20241206,,,
30,66.0,64.5,1.0,0.3,0.4,MF,4F,M,,1.5,,,,88.0,PLT2_20241206,,,
31,64.5,64.0,1.25,0.2,0.5,MF,4F,M,drier,0.5,,,,88.0,PLT2_20241206,,,
32,64.0,18.0,1.0,0.0,0.4,RG,4F,M,,46.0,,,,88.0,PLT2_20241206,,,
33,18.0,16.0,1.3,0.4,0.6,MFcr,P,W,,2.0,,,,88.0,PLT2_20241206,,,
34,16.0,0.0,1.5,0.5,1.0,RG,4F,M+,,16.0,,,,88.0,PLT2_20241206,,,
35,96.0,93.0,1.0,0.5,0.8,DF,F,M,DFbk,2.0,1.5,75.0,20250305.0,96.0,JPLMet_20250305,,0.04164233333333334,
36,93.0,86.0,0.8,0.1,0.3,RG,4F,D,"RGsr
DFdc",6.4,2.0,31.25,,96.0,JPLMet_20250305,5.232,0.17636985714285713,
37,86.0,82.0,1.0,0.3,0.5,MFcr,K,D,"MFcr
MFpc",4.6,13.5,293.47826086956525,,96.0,JPLMet_20250305,51.7968,8.795867551724138,
38,82.0,59.0,1.0,0.3,0.5,RG,1F,D,RGlr,19.6,45.5,232.14285714285717,,96.0,JPLMet_20250305,50.4083076923077,0.9227128074534161,
39,59.0,56.0,2.0,0.5,1.0,IF,K,D,"IFil
Obvious ice lens",,,,,96.0,JPLMet_20250305,127.53,1.7048558571428571,
40,56.0,34.0,2.0,0.5,1.0,FCxr,F,D,,21.8,59.0,270.6422018348624,,96.0,JPLMet_20250305,,0.45101676129032253,
41,34.0,15.0,3.0,1.0,2.0,DHxr,4F,D,,16.6,41.5,250.0,,96.0,JPLMet_20250305,,0.3149719097744361,
42,15.0,0.0,6.0,1.0,2.0,DHxr,1F,D,,18.2,48.5,266.4835164835165,,96.0,JPLMet_20250305,27.077602040816327,0.7324987999999999,
47,153.0,152.0,0.5,0.1,0.3,MFcr,F,D,,1.0,3.2,0.0,20250116.0,153.0,BOG_20250116,,,0.1298295795820475
48,152.0,136.0,1.0,0.3,0.7,FCxr,F,D,,15.8,30.0,189.873417721519,,153.0,BOG_20250116,12.039545454545454,,0.19225798745152486
49,136.0,127.0,0.4,0.2,0.3,RGxf,4F,D,,12.4,30.0,241.93548387096777,,153.0,BOG_20250116,51.2082,,0.431050040050911
50,127.0,112.0,0.8,0.3,0.5,RGxf,4F,D,,12.6,31.0,246.031746031746,,153.0,BOG_20250116,56.203125,,0.5605907507554604
51,112.0,93.5,0.8,0.2,0.4,RGxf,4F,D,More facets than layer above,,,,,153.0,BOG_20250116,220.34769230769228,,0.7502994107328415
52,93.5,92.5,,,,IFil,I,D,"clear, faceting melt forms below",,,,,153.0,BOG_20250116,243.615,,4.587669894098823
53,92.5,80.0,0.3,0.1,0.2,RGsr,1F,D,some faceted edges,,,,,153.0,BOG_20250116,516.1150000000001,,2.397748371153386
54,80.0,76.0,1.5,0.5,1.0,MFcr,P,D,"some IF, some faceted edges",,,,,153.0,BOG_20250116,610.3221428571429,,7.641590765840676
55,76.0,50.0,0.4,0.1,0.2,RG,P,D,,,,,,153.0,BOG_20250116,432.18500000000006,,2.6821769277035745
56,50.0,45.0,0.5,0.2,0.3,RG,P,D,well bonded,,,,,153.0,BOG_20250116,507.66750000000013,,5.3069718995412485
57,45.0,42.0,0.8,0.3,0.5,RG,K,M,"evidence of melt, some MFpc",,,,,153.0,BOG_20250116,470.88000000000005,,0.8778113452368553
58,42.0,39.0,1.0,0.5,0.7,RG,1F,M,previously faceted,,,,,153.0,BOG_20250116,225.63,,0.806516410610349
59,39.0,24.0,1.0,0.4,0.7,RGxf,4F,M,faceted edges are rounding,,,,,153.0,BOG_20250116,132.61666666666667,,1.025271821536616
60,24.0,11.0,0.8,0.3,0.5,RG,1F,M,some MFcl,,,,,153.0,BOG_20250116,240.34499999999997,,2.03856657130862
61,11.0,0.0,0.8,0.2,0.5,RG,1F,M,,,,,,153.0,BOG_20250116,147.15,,0.9568827187810537
62,63.5,63.0,1.0,1.0,1.0,PP,F,D,Some riming PPsd PPgp,,,,20241230.0,63.5,SLMet_20241230,,0.03303225,0.0830002203092216
63,63.0,58.0,1.5,0.5,1.0,PP,F,D,Some riming,4.2,4.5,107.1428571,,63.5,SLMet_20241230,,0.05575218571428571,0.10673515424643913
64,58.0,54.5,1.0,0.5,0.8,DF,F,D,Faceted edges,3.9,4.5,115.3846154,,63.5,SLMet_20241230,0.981,0.2365060625,0.19396302166933982
65,54.5,52.5,0.4,0.1,0.2,MFcl,F,D,F+,4.0,6.5,162.5,,63.5,SLMet_20241230,2.289,0.19836893333333333,0.18121331505588206
66,52.5,37.0,1.0,0.3,0.5,RG,F,D,"Previous DF Larger grains faceted
F/4F-",11.8,16.5,139.8305085,,63.5,SLMet_20241230,9.988363636363637,0.2834761574074074,0.1497819460894593
67,37.0,19.0,2.0,1.0,1.5,DH,F,D,"Squares, few rounded edges",19.0,45.5,239.4736842,,63.5,SLMet_20241230,9.156,0.27069879527559054,0.12517953367709986
68,19.0,0.0,4.0,1.5,2.0,DH,F,D,"Striations, rounding",17.8,42.5,238.7640449,,63.5,SLMet_20241230,15.042,0.3321719436090226,0.22474876950623593
74,52.3,52.0,0.3,0.1,0.2,SH,F,D,SHsu not available in grain type,,,,20241122.0,52.3,FST_20241122,,0.067588,
75,52.0,46.0,0.7,0.3,0.3,RG,F,D,RGsr not available in grain type,6.0,9.0,150.0,,52.3,FST_20241122,0.981,0.0787313142857143,
76,46.0,31.0,1.0,0.1,0.5,FC,4F,D,FCso,15.0,24.5,163.33333333333334,,52.3,FST_20241122,4.599800000000001,0.12294473523809524,
77,31.0,16.5,1.0,0.3,0.5,FC,1F,D,"No Cup, FCso, 1F+",14.5,35.5,244.8275862068965,,52.3,FST_20241122,20.7645,0.4881913176470588,
78,16.5,0.0,2.0,1.0,1.5,FC,4F,D,"Some cups, prisms, No striations, FCso, 4F+",16.5,27.0,163.63636363636363,,52.3,FST_20241122,25.26075,0.40838056453052457,
86,139.0,130.0,2.5,1.0,1.5,MFpc,1F,M,MFcl,7.799999999999997,28.0,359.0,20250416.0,139.0,AM_20250416,,2.0699286666666663,
87,130.0,118.0,4.0,0.8,1.5,MFcr,K,M,MFcl,8.0,30.0,381.0,,139.0,AM_20250416,263.98961538461543,10.643549023529411,
88,118.0,110.0,1.5,0.5,1.0,MFcl,P,M,,6.200000000000003,26.0,427.0,,139.0,AM_20250416,91.56,3.8171134561403504,
89,110.0,109.0,,,,IF,I,,Ifil,2.799999999999997,14.0,500.0,,139.0,AM_20250416,,2.963227285714285,
90,109.0,80.0,2.0,0.5,1.0,MFcl,P,W,,25.8,105.0,407.0,,139.0,AM_20250416,167.7042857142857,6.6561367044334965,
91,80.0,43.0,1.0,0.3,0.8,MFcl,1F,M,,38.2,141.0,370.0,,139.0,AM_20250416,89.24375000000002,2.6573401428571426,
92,43.0,0.0,4.0,1.0,2.0,FCxr,F,M,DHxr,42.8,122.0,285.0,,139.0,AM_20250416,,0.8809768737541528,
98,47.0,46.5,2.0,0.3,0.5,DF,F,D,"Arms, stellars",,,,20241216.0,47.0,JPLMet_20241216,,0.0375335,
