,top_cm,bottom_cm,grain max_mm,grain min_mm,grain avg_mm,type,HH,wetness,comments,hs_cm,swe_mm,density_kgm3,date,hs,profile_id,avg_force_ram,avg_force_scope,avg_force_smp
0,288.0,284.0,0.2,0.1,0.1,RGxf,F,D,,,,,20250228.0,288.0,BDG_20250228,63.82900355871887,3.9045931829181497,0.547932107061754
1,284.0,283.0,0.4,0.1,0.3,MFcr,P,D,"Some IFrc, facets",,,372.88253646,,288.0,BDG_20250228,67.04651408450708,3.6566294028169017,0.47498680260074266
2,283.0,279.0,0.5,0.2,0.3,FCxr,4F,D,,,,,,288.0,BDG_20250228,158.68712633451958,5.310413330960855,0.9064736548946358
3,279.0,278.0,0.8,0.2,0.5,MFcr,1F,D,"faceted, discontinuous, percolation from 284-283 layer",,,360.13557626,,288.0,BDG_20250228,238.6869718309859,6.448154253521127,1.184022253986494
4,278.0,256.0,0.3,0.1,0.1,RGsr,F,D,old DF,,,,,288.0,BDG_20250228,640.9141816686603,12.313945597199535,
5,256.0,246.0,0.3,0.1,0.2,RG,F,D,more DF than above,,,,,288.0,BDG_20250228,,,
6,246.0,213.0,0.4,0.2,0.3,RG,4F,D,,,,,,288.0,BDG_20250228,,,
7,213.0,165.0,0.5,0.2,0.3,RGxf,1F,D,,,,,,288.0,BDG_20250228,,,
8,165.0,164.5,5.0,2.0,3.0,SHxr,F,D,FCxr 1mm,,,,,288.0,BDG_20250228,,,
9,164.5,163.0,1.0,0.2,0.5,RGxf,1F,D,,,,,,288.0,BDG_20250228,,,
10,163.0,159.0,6.0,1.5,2.0,SHxr,F,D,FCxr 1.5mm,,,,,288.0,BDG_20250228,,,
11,159.0,148.0,1.0,0.4,0.8,RGxf,1F,D,,,,,,288.0,BDG_20250228,,,
12,148.0,147.0,1.0,0.3,0.7,MFcr,4F,D,"poorly bonded, faceted",,,0.0,,288.0,BDG_20250228,,,
13,147.0,120.0,0.5,0.2,0.4,RGxf,P,D,,,,,,288.0,BDG_20250228,,,
14,120.0,76.0,0.8,0.3,0.5,RGxf,P,D,,,,,,288.0,BDG_20250228,,,
15,67.0,66.5,2.0,0.5,1.0,PPsd,F,D,Some DFbk,,,,20250107.0,67.0,FEFHQ_20250107,0.981,0.07657229714285714,
16,66.5,61.0,1.5,0.5,1.0,DF,F,D,"DFbk, some PPsp",6.200000000000003,5.0,81.0,,67.0,FEFHQ_20250107,19.621093702297703,0.4324987345454546,
17,61.0,36.0,1.0,0.5,0.8,RGxf,4F,D,,25.599999999999994,56.0,217.0,,67.0,FEFHQ_20250107,,,
18,36.0,18.0,1.5,0.5,1.0,FC,F,D,FCso,15.400000000000002,35.0,227.0,,67.0,FEFHQ_20250107,,,
19,18.0,0.0,4.0,1.0,1.5,DHla,F,D,DHch,18.8,41.0,218.0,,67.0,FEFHQ_20250107,,,
27,88.0,85.0,1.0,0.2,0.4,MF,4F,WS,"Surface facets, melting",3.0,,,20241206.0,88.0,PLT2_20241206,,,
28,85.0,66.5,0.7,0.25,0.5,MF,F,M,"rounded grains, melted bonded",18.5,,,,88.0,PLT2_20241206,,,
