,top_cm,bottom_cm,grain max_mm,grain min_mm,grain avg_mm,type,HH,wetness,comments,hs_cm,swe_mm,density_kgm3,date,hs,profile_id,avg_force_ram,avg_force_scope,avg_force_smp
147,138.0,127.0,0.8,0.1,0.3,FCxr,4F,D,Potential buried SH,12.000000000000014,26.5,220.83333333333303,,143.0,AM_20250313,77.51338692434211,1.4012657561608302,
148,127.0,106.0,0.8,0.1,0.3,RG,1F,D,"RGlr
Necks Bonds",19.39999999999999,54.5,280.92783505154654,,143.0,AM_20250313,,,
149,106.0,84.0,1.0,0.3,0.5,RGxf,P,D,,23.0,71.5,310.8695652173913,,143.0,AM_20250313,,,
150,84.0,48.0,1.5,0.5,1.0,FCxr,1F,D,,34.60000000000001,109.5,316.47398843930625,,143.0,AM_20250313,,,
151,48.0,19.0,2.5,0.5,1.0,FCxr,1F,D,,29.0,80.5,277.58620689655174,,143.0,AM_20250313,,,
152,19.0,0.0,4.0,1.0,2.0,DHxr,1F,D,Chains,15.8,43.5,275.3164556962025,,143.0,AM_20250313,,,
158,37.0,0.0,6.0,1.0,2.0,MFcl,F,M,MFpc,34.0,128.0,376.4705882352941,20250415.0,37.0,FEFHQ_20250415,,,
170,41.0,39.0,3.0,1.0,1.5,PPsd,F,D,PPpl some but,8.5,7.0,82.3529411764706,20241129.0,41.0,TPO_20241129,,0.13436137115839242,
171,39.0,31.0,2.0,0.5,1.0,DF,F,D,DFbk and DFxr rounded tip,,,,,41.0,TPO_20241129,,3.4244094222222223,
172,31.0,22.0,1.0,0.5,0.8,RG,F,D,some evidence of faceting - diurnal,8.5,7.0,82.3529411764706,,41.0,TPO_20241129,,,
173,22.0,16.0,1.0,0.4,0.4,RG,F,D,more facets than above layer but still dominant RGsr,10.0,19.0,190.0,,41.0,TPO_20241129,,,
174,16.0,15.0,2.0,0.4,1.2,FC,F,D,Slightly better bonded than layers above and below - but not crust some prisms/plates - no cups,,,,,41.0,TPO_20241129,,,
175,15.0,9.0,1.5,0.3,1.0,FC,F,D,Lots of FCso too,4.0,10.5,262.5,,41.0,TPO_20241129,,,
176,9.0,0.0,2.0,0.4,1.2,FC,F,D,Like layer above but bigger,7.0,14.0,200.0,,41.0,TPO_20241129,,,
182,204.0,203.0,3.0,1.0,2.0,PPgp,F,D,some needles w/ rime,1.0,2.0,199.2,20250205.0,204.0,BOG_20250205,8.345408450704229,0.4824189084507043,0.2773822583687328
183,203.0,202.5,0.3,0.1,0.2,MFcr,4F,D,rain event previous night,0.5,1.0,294.88248715,,204.0,BOG_20250205,11.370257142857144,0.2610091857142857,0.1748450403292795
184,202.5,178.0,2.0,0.5,1.0,DF,F,D,previous stellars,24.5,47.4,193.3,,204.0,BOG_20250205,155.5868847853568,5.044980002915452,1.3912826422778704
185,178.0,168.0,1.0,0.3,0.5,DF,4F,D,previous stellars,10.0,20.6,205.8,,204.0,BOG_20250205,,,
186,168.0,156.0,1.5,0.5,1.0,DF,4F,D,,12.0,27.5,229.4,,204.0,BOG_20250205,,,
187,156.0,146.0,1.0,0.5,0.7,DF,4F,D,more rounded,10.0,25.5,255.0,,204.0,BOG_20250205,,,
188,146.0,135.0,0.3,0.1,0.2,RG,4F,D,"some DF, but fewer than previous, top of layer, 3mm graupel",11.0,27.1,246.1,,204.0,BOG_20250205,,,
189,135.0,133.0,1.5,0.7,1.0,FCxr,F,D,"previous MFcr, some MF remain, old snow surface @ 135",2.0,4.2,210.3,,204.0,BOG_20250205,,,
190,133.0,113.5,1.0,0.4,0.7,FCxr,4F,D,,19.5,48.2,246.9,,204.0,BOG_20250205,,,
191,113.5,112.5,,,,IF,K,D,"3mm thick, FCxr on top",1.0,2.6,363.24713793333336,,204.0,BOG_20250205,,,
192,112.5,102.0,1.0,0.3,0.6,RGlr,1F,D,dicontinuous IF @ 98c. few faceted edges,10.5,28.2,268.9,,204.0,BOG_20250205,,,
193,102.0,85.0,0.8,0.3,0.5,RG,,D,,17.0,48.6,285.8,,204.0,BOG_20250205,,,
194,85.0,74.0,1.0,0.4,0.7,RGxf,1F,D,,11.0,35.4,321.6,,204.0,BOG_20250205,,,
195,74.0,59.0,1.0,0.5,0.7,IF,P,D,"multiple IF w/ FC between, some MF",15.0,49.9,323.29789239,,204.0,BOG_20250205,,,
196,69.0,40.0,0.5,0.2,0.4,RGxf,P,D,very well bonded,,,357.6,,204.0,BOG_20250205,,,
197,40.0,0.0,2.5,1.0,1.5,FC,P,D,Some MF,,,,,204.0,BOG_20250205,,,
198,49.0,44.0,3.0,0.8,1.0,MFpc,1F,M,MFcl,4.0,13.5,337.5,20250416.0,49.0,LFMet_20250416,40.64376218368187,0.7995557241379312,
199,44.0,37.0,3.0,0.8,1.0,MFpc,P,M,MFcl,8.2,26.5,323.1707317073171,,49.0,LFMet_20250416,,,
200,37.0,0.0,6.0,1.0,2.0,MFcl,F,M,,33.2,106.0,319.2771084337349,,49.0,LFMet_20250416,,,
210,111.5,95.0,1.0,0.3,0.5,RGwp,K,D,,19.4,71.0,365.9793814,20250213.0,111.5,CLPX_FAD16_20250213,270.692525298988,6.5150746721088435,
211,95.0,91.5,1.5,0.5,1.0,RGxf,1F,D,,2.0,5.5,275.0,,111.5,CLPX_FAD16_20250213,,,
212,91.5,88.0,1.5,0.5,1.0,RGxf,K,D,,4.0,16.5,412.5,,111.5,CLPX_FAD16_20250213,,,
213,88.0,58.0,2.0,0.5,1.0,FCxr,P,D,,29.0,98.5,339.6551724,,111.5,CLPX_FAD16_20250213,,,
214,58.0,35.0,2.0,0.5,1.0,FCxr,K,D,,23.2,93.5,403.0172414,,111.5,CLPX_FAD16_20250213,,,
215,35.0,0.0,3.0,0.5,1.0,DHxr,P,D,DHch,28.4,87.0,306.3380282,,111.5,CLPX_FAD16_20250213,,,
222,209.0,206.0,0.7,0.3,0.5,MFcl,F,W,,3.0,12.7,424.9,20250326.0,209.0,BOG_20250326,41.32055687203792,,
223,206.0,203.0,1.0,0.1,0.5,MFpc,F,W,,3.0,12.3,410.0,,209.0,BOG_20250326,215.09936018957345,,
224,203.0,195.0,0.5,0.2,0.4,MFcl,F,VW,,8.0,32.9,411.4,,209.0,BOG_20250326,434.5930548128342,,
225,195.0,186.0,1.0,0.2,0.4,MFcl,F,VW,,,,,,209.0,BOG_20250326,285.5809646017699,,
226,186.0,185.0,1.0,0.2,0.5,MFcl,4F,W,,,,,,209.0,BOG_20250326,,,
227,185.0,178.0,0.3,0.2,0.1,RG,F,W,,,,,,209.0,BOG_20250326,,,
228,178.0,172.0,2.0,1.0,0.5,MFpc,1F,M,,,,,,209.0,BOG_20250326,,,
229,172.0,170.5,1.0,0.3,0.5,MFcr,F,W,,,,397.066705,,209.0,BOG_20250326,,,
230,170.5,167.0,0.7,0.3,0.5,MFcl,I,D,,,,,,209.0,BOG_20250326,,,
231,167.0,166.0,,,,IFil,4F,W,14mm thick,,,402.5589643,,209.0,BOG_20250326,,,
232,166.0,149.0,0.4,0.2,0.3,RGsr,1F,W,,,,,,209.0,BOG_20250326,,,
233,149.0,140.5,0.1,0.2,0.3,RGsr,P,D,"discontinuous, MFcl",,,,,209.0,BOG_20250326,,,
234,140.5,140.0,1.0,0.3,0.5,IFil,P,D,"discontinuous, MFcl",,,0.0,,209.0,BOG_20250326,,,
235,140.0,130.5,0.4,0.2,0.3,RGsr,4F,W,,,,,,209.0,BOG_20250326,,,
236,130.5,130.0,,,,IFil,I,M,,,,0.0,,209.0,BOG_20250326,,,
237,130.0,108.0,0.4,0.2,0.3,RGsr,1F,W,,,,,,209.0,BOG_20250326,,,
238,108.0,107.5,,,,IFil,I,D,,,,0.0,,209.0,BOG_20250326,,,
239,107.5,105.5,0.5,0.2,0.3,MFcl,1F,M,,,,,,209.0,BOG_20250326,,,
240,105.5,105.0,1.5,0.5,1.0,MFcl,P,M,,,,,,209.0,BOG_20250326,,,
241,105.0,101.0,0.3,0.1,0.2,MFcl,1F,W,close to RG,,,,,209.0,BOG_20250326,,,
242,101.0,100.0,,,,IFil,I,D,,,,0.0,,209.0,BOG_20250326,,,
